is within 50 dollars,accomodates children,Find a place that is within 50 dollars and accomodates children.
is a chinese place,is wheelchair accessible,Any places that are is a chinese place and is wheelchair accessiblenearby?
accomodates children,is a drive through,Find a place that accomodates children and is a drive through.
10 people,is under 30 dollars,Give me a restauruant that 10 people and is under 30 dollars.
is within 10 minutes of me,holds 50 people,Give me a restauruant that is within 10 minutes of me and holds 50 people.
is within 30 minutes,around 10 bucks,Give me a restauruant that is within 30 minutes and around 10 bucks.
accomodates children,4 people,Give me a restauruant that accomodates children and 4 people.
is under 30 dollars,is a drive through,Find a place that is under 30 dollars and is a drive through.
at a walkable distance,around 10 bucks,Any places that are at a walkable distance and around 10 bucksnearby?
accomodates children,4 people,Find a place that accomodates children and 4 people.
is a chinese place,is wheelchair accessible,Give me a restauruant that is a chinese place and is wheelchair accessible.
under 20 dollars,at a walkable distance,Give me a restauruant that under 20 dollars and at a walkable distance.
is within 20 minutes of me,indian,Find a place that is within 20 minutes of me and indian.
is within 250 dollars,is within 30 minutes,Any places that are is within 250 dollars and is within 30 minutesnearby?
at a walkable distance,holds 50 people,Any places that are at a walkable distance and holds 50 peoplenearby?
around 10 bucks,is good for 2 people,Find a place that around 10 bucks and is good for 2 people.
is within 50 dollars,accomodates children,Find a place that is within 50 dollars and accomodates children.
accomodates children,4 people,Any places that are accomodates children and 4 peoplenearby?
is within 30 minutes,indian,Any places that are is within 30 minutes and indiannearby?
is within 30 minutes,is within 250 dollars,Give me a restauruant that is within 30 minutes and is within 250 dollars.
accomodates children,is within 20 minutes of me,Give me a restauruant that accomodates children and is within 20 minutes of me.
is pet friendly,is a diner,Give me a restauruant that is pet friendly and is a diner.
is a chinese place,20 people,Any places that are is a chinese place and 20 peoplenearby?
10 people,indian,Find a place that 10 people and indian.
is within 20 minutes of me,is a diner,Find a place that is within 20 minutes of me and is a diner.
under 20 dollars,holds 50 people,Give me a restauruant that under 20 dollars and holds 50 people.
is within 10 minutes of me,is a thai restaurant,Find a place that is within 10 minutes of me and is a thai restaurant.
is wheelchair accessible,holds 50 people,Any places that are is wheelchair accessible and holds 50 peoplenearby?
quiet place,around 10 bucks,Find a place that quiet place and around 10 bucks.
is within 10 minutes of me,4 people,Find a place that is within 10 minutes of me and 4 people.
is wheelchair accessible,4 people,Any places that are is wheelchair accessible and 4 peoplenearby?
10 people,is wheelchair accessible,Any places that are 10 people and is wheelchair accessiblenearby?
indian,around 10 bucks,Give me a restauruant that indian and around 10 bucks.
is a drive through,is good for 2 people,Give me a restauruant that is a drive through and is good for 2 people.
is a diner,is pet friendly,Give me a restauruant that is a diner and is pet friendly.
is a diner,is wheelchair accessible,Give me a restauruant that is a diner and is wheelchair accessible.
is good for 2 people,is within 30 minutes,Give me a restauruant that is good for 2 people and is within 30 minutes.
quiet place,10 people,Give me a restauruant that quiet place and 10 people.
is within 50 dollars,is within 30 minutes,Find a place that is within 50 dollars and is within 30 minutes.
accomodates children,under 20 dollars,Any places that are accomodates children and under 20 dollarsnearby?
is within 10 minutes of me,4 people,Find a place that is within 10 minutes of me and 4 people.
quiet place,is within 250 dollars,Give me a restauruant that quiet place and is within 250 dollars.
4 people,accomodates children,Any places that are 4 people and accomodates childrennearby?
is within 250 dollars,is a diner,Any places that are is within 250 dollars and is a dinernearby?
is under 30 dollars,is a thai restaurant,Find a place that is under 30 dollars and is a thai restaurant.
accomodates children,is within 10 minutes of me,Any places that are accomodates children and is within 10 minutes of menearby?
is within 50 dollars,accomodates children,Any places that are is within 50 dollars and accomodates childrennearby?
is within 10 minutes of me,is a thai restaurant,Give me a restauruant that is within 10 minutes of me and is a thai restaurant.
is a drive through,is within 50 dollars,Give me a restauruant that is a drive through and is within 50 dollars.
holds 50 people,is pet friendly,Any places that are holds 50 people and is pet friendlynearby?
quiet place,is a thai restaurant,Find a place that quiet place and is a thai restaurant.
is good for 2 people,accomodates children,Find a place that is good for 2 people and accomodates children.
is pet friendly,under 20 dollars,Find a place that is pet friendly and under 20 dollars.
is a drive through,is within 20 minutes of me,Give me a restauruant that is a drive through and is within 20 minutes of me.
is a drive through,is wheelchair accessible,Find a place that is a drive through and is wheelchair accessible.
under 20 dollars,is within 10 minutes of me,Give me a restauruant that under 20 dollars and is within 10 minutes of me.
is under 30 dollars,is a diner,Give me a restauruant that is under 30 dollars and is a diner.
is wheelchair accessible,is under 30 dollars,Any places that are is wheelchair accessible and is under 30 dollarsnearby?
is wheelchair accessible,4 people,Any places that are is wheelchair accessible and 4 peoplenearby?
is a thai restaurant,is within 10 minutes of me,Give me a restauruant that is a thai restaurant and is within 10 minutes of me.
is within 30 minutes,indian,Any places that are is within 30 minutes and indiannearby?
is a chinese place,10 people,Find a place that is a chinese place and 10 people.
indian,at a walkable distance,Find a place that indian and at a walkable distance.
indian,under 20 dollars,Give me a restauruant that indian and under 20 dollars.
is under 30 dollars,quiet place,Find a place that is under 30 dollars and quiet place.
indian,is within 30 minutes,Find a place that indian and is within 30 minutes.
at a walkable distance,is under 30 dollars,Any places that are at a walkable distance and is under 30 dollarsnearby?
is within 50 dollars,is a diner,Find a place that is within 50 dollars and is a diner.
is good for 2 people,is within 20 minutes of me,Give me a restauruant that is good for 2 people and is within 20 minutes of me.
is within 20 minutes of me,is good for 2 people,Find a place that is within 20 minutes of me and is good for 2 people.
around 10 bucks,is within 30 minutes,Any places that are around 10 bucks and is within 30 minutesnearby?
is pet friendly,indian,Find a place that is pet friendly and indian.
is within 20 minutes of me,quiet place,Give me a restauruant that is within 20 minutes of me and quiet place.
20 people,around 10 bucks,Give me a restauruant that 20 people and around 10 bucks.
at a walkable distance,is within 250 dollars,Any places that are at a walkable distance and is within 250 dollarsnearby?
at a walkable distance,quiet place,Give me a restauruant that at a walkable distance and quiet place.
around 10 bucks,accomodates children,Find a place that around 10 bucks and accomodates children.
10 people,is within 30 minutes,Find a place that 10 people and is within 30 minutes.
around 10 bucks,is pet friendly,Find a place that around 10 bucks and is pet friendly.
is within 50 dollars,is good for 2 people,Find a place that is within 50 dollars and is good for 2 people.
is wheelchair accessible,at a walkable distance,Give me a restauruant that is wheelchair accessible and at a walkable distance.
is wheelchair accessible,20 people,Give me a restauruant that is wheelchair accessible and 20 people.
10 people,is a drive through,Give me a restauruant that 10 people and is a drive through.
is under 30 dollars,is within 20 minutes of me,Give me a restauruant that is under 30 dollars and is within 20 minutes of me.
4 people,quiet place,Find a place that 4 people and quiet place.
at a walkable distance,is a diner,Any places that are at a walkable distance and is a dinernearby?
indian,is wheelchair accessible,Any places that are indian and is wheelchair accessiblenearby?
indian,at a walkable distance,Any places that are indian and at a walkable distancenearby?
indian,under 20 dollars,Any places that are indian and under 20 dollarsnearby?
accomodates children,is within 20 minutes of me,Find a place that accomodates children and is within 20 minutes of me.
around 10 bucks,quiet place,Any places that are around 10 bucks and quiet placenearby?
10 people,is within 250 dollars,Any places that are 10 people and is within 250 dollarsnearby?
is within 50 dollars,4 people,Any places that are is within 50 dollars and 4 peoplenearby?
under 20 dollars,is a diner,Any places that are under 20 dollars and is a dinernearby?
holds 50 people,quiet place,Give me a restauruant that holds 50 people and quiet place.
is within 250 dollars,is within 30 minutes,Find a place that is within 250 dollars and is within 30 minutes.
accomodates children,indian,Find a place that accomodates children and indian.
accomodates children,is within 10 minutes of me,Any places that are accomodates children and is within 10 minutes of menearby?
around 10 bucks,quiet place,Find a place that around 10 bucks and quiet place.
4 people,indian,Give me a restauruant that 4 people and indian.
