E,C,I'm looking for a restaurant that is E and C for me.
C,D,I'm looking for a restaurant that is C and D for me.
B,G,I'm looking for a restaurant that is B and G for me.
H,D,I'm looking for a restaurant that is H and D for me.
B,A,I'm looking for a restaurant that is B and A for me.
H,A,I'm looking for a restaurant that is H and A for me.
C,A,I'm looking for a restaurant that is C and A for me.
F,A,I'm looking for a restaurant that is F and A for me.
G,H,I'm looking for a restaurant that is G and H for me.
C,A,I'm looking for a restaurant that is C and A for me.
B,A,I'm looking for a restaurant that is B and A for me.
C,C,I'm looking for a restaurant that is C and C for me.
H,G,I'm looking for a restaurant that is H and G for me.
D,A,I'm looking for a restaurant that is D and A for me.
B,G,I'm looking for a restaurant that is B and G for me.
F,B,I'm looking for a restaurant that is F and B for me.
D,F,I'm looking for a restaurant that is D and F for me.
C,C,I'm looking for a restaurant that is C and C for me.
A,D,I'm looking for a restaurant that is A and D for me.
G,C,I'm looking for a restaurant that is G and C for me.
H,A,I'm looking for a restaurant that is H and A for me.
B,C,I'm looking for a restaurant that is B and C for me.
F,A,I'm looking for a restaurant that is F and A for me.
B,D,I'm looking for a restaurant that is B and D for me.
A,H,I'm looking for a restaurant that is A and H for me.
D,A,I'm looking for a restaurant that is D and A for me.
E,B,I'm looking for a restaurant that is E and B for me.
D,B,I'm looking for a restaurant that is D and B for me.
B,B,I'm looking for a restaurant that is B and B for me.
F,C,I'm looking for a restaurant that is F and C for me.
D,A,I'm looking for a restaurant that is D and A for me.
A,A,I'm looking for a restaurant that is A and A for me.
A,D,I'm looking for a restaurant that is A and D for me.
B,A,I'm looking for a restaurant that is B and A for me.
D,C,I'm looking for a restaurant that is D and C for me.
F,C,I'm looking for a restaurant that is F and C for me.
B,B,I'm looking for a restaurant that is B and B for me.
C,D,I'm looking for a restaurant that is C and D for me.
A,E,I'm looking for a restaurant that is A and E for me.
B,D,I'm looking for a restaurant that is B and D for me.
A,H,I'm looking for a restaurant that is A and H for me.
A,C,I'm looking for a restaurant that is A and C for me.
C,A,I'm looking for a restaurant that is C and A for me.
B,B,I'm looking for a restaurant that is B and B for me.
A,A,I'm looking for a restaurant that is A and A for me.
C,D,I'm looking for a restaurant that is C and D for me.
C,C,I'm looking for a restaurant that is C and C for me.
A,D,I'm looking for a restaurant that is A and D for me.
D,G,I'm looking for a restaurant that is D and G for me.
D,D,I'm looking for a restaurant that is D and D for me.
F,B,I'm looking for a restaurant that is F and B for me.
D,B,I'm looking for a restaurant that is D and B for me.
G,H,I'm looking for a restaurant that is G and H for me.
B,D,I'm looking for a restaurant that is B and D for me.
C,F,I'm looking for a restaurant that is C and F for me.
D,A,I'm looking for a restaurant that is D and A for me.
F,E,I'm looking for a restaurant that is F and E for me.
B,E,I'm looking for a restaurant that is B and E for me.
C,A,I'm looking for a restaurant that is C and A for me.
H,D,I'm looking for a restaurant that is H and D for me.
B,D,I'm looking for a restaurant that is B and D for me.
B,C,I'm looking for a restaurant that is B and C for me.
A,H,I'm looking for a restaurant that is A and H for me.
A,C,I'm looking for a restaurant that is A and C for me.
A,C,I'm looking for a restaurant that is A and C for me.
A,D,I'm looking for a restaurant that is A and D for me.
A,B,I'm looking for a restaurant that is A and B for me.
D,A,I'm looking for a restaurant that is D and A for me.
H,E,I'm looking for a restaurant that is H and E for me.
D,E,I'm looking for a restaurant that is D and E for me.
D,H,I'm looking for a restaurant that is D and H for me.
E,C,I'm looking for a restaurant that is E and C for me.
A,B,I'm looking for a restaurant that is A and B for me.
F,B,I'm looking for a restaurant that is F and B for me.
A,C,I'm looking for a restaurant that is A and C for me.
F,B,I'm looking for a restaurant that is F and B for me.
B,C,I'm looking for a restaurant that is B and C for me.
C,F,I'm looking for a restaurant that is C and F for me.
E,B,I'm looking for a restaurant that is E and B for me.
C,F,I'm looking for a restaurant that is C and F for me.
B,B,I'm looking for a restaurant that is B and B for me.
B,B,I'm looking for a restaurant that is B and B for me.
B,C,I'm looking for a restaurant that is B and C for me.
B,D,I'm looking for a restaurant that is B and D for me.
B,C,I'm looking for a restaurant that is B and C for me.
A,H,I'm looking for a restaurant that is A and H for me.
F,E,I'm looking for a restaurant that is F and E for me.
B,G,I'm looking for a restaurant that is B and G for me.
A,H,I'm looking for a restaurant that is A and H for me.
E,F,I'm looking for a restaurant that is E and F for me.
F,C,I'm looking for a restaurant that is F and C for me.
H,A,I'm looking for a restaurant that is H and A for me.
G,A,I'm looking for a restaurant that is G and A for me.
F,G,I'm looking for a restaurant that is F and G for me.
H,A,I'm looking for a restaurant that is H and A for me.
C,C,I'm looking for a restaurant that is C and C for me.
D,B,I'm looking for a restaurant that is D and B for me.
D,E,I'm looking for a restaurant that is D and E for me.
F,D,I'm looking for a restaurant that is F and D for me.
B,E,I'm looking for a restaurant that is B and E for me.
H,A,I'm looking for a restaurant that is H and A for me.
E,B,I'm looking for a restaurant that is E and B for me.
A,F,I'm looking for a restaurant that is A and F for me.
H,A,I'm looking for a restaurant that is H and A for me.
B,C,I'm looking for a restaurant that is B and C for me.
B,A,I'm looking for a restaurant that is B and A for me.
B,D,I'm looking for a restaurant that is B and D for me.
C,F,I'm looking for a restaurant that is C and F for me.
D,B,I'm looking for a restaurant that is D and B for me.
C,G,I'm looking for a restaurant that is C and G for me.
E,F,I'm looking for a restaurant that is E and F for me.
C,H,I'm looking for a restaurant that is C and H for me.
D,C,I'm looking for a restaurant that is D and C for me.
B,B,I'm looking for a restaurant that is B and B for me.
D,A,I'm looking for a restaurant that is D and A for me.
